Time (s),(A) Motor Speed [RPM],(B) Motor Speed [RPM],(C) Motor Speed [RPM],(D) Motor Speed [RPM],(A) Roller Speed [kph],(B) Roller Speed [kph],(C) Roller Speed [kph],(D) Roller Speed [kph],(A) Ext Roller Spd [kph],(B) Ext Roller Spd [kph],(C) Ext Roller Spd [kph],(D) Ext Roller Spd [kph],PTO Motor Speed [RPM],(A) Force [kN],(B) Force [kN],(C) Force [kN],(D) Force [kN],PTO Torque [Nm],Gradient [%],(A) Brake ON [],(B) Brake ON [],(C) Brake ON [],(D) Brake ON [],Clamp Applied A [],Clamp Applied B [],Clamp Applied C [],Clamp Applied D [],AverageSpeed [kph],ForceTotal [kN],Dyno Enabled A [],Dyno Enabled B [],Dyno Enabled C [],Dyno Enabled D [],PTO Enabled [],AuxEnable [],Distance A [km],Distance B [km],Distance C [km],Distance D [km],Distance Avg [km],A_Drive_SW [],B_Drive_SW [],C_Drive_SW [],D_Drive_SW [],PTO_Drive_SW [],A Speed Demand [kph],B Speed Demand [kph],C Speed Demand [kph],D Speed Demand [kph],(A) Drive Demand [%],(B) Drive Demand [%],(C) Drive Demand [%],(D) Drive Demand [%],PTO Drive Demand [Nm],A Torq Motor Lim [%],A Torq Absorb Lim [%],B Torq Motor Lim [%],B Torq Absorb Lim [%],C Torq Motor Lim [%],C Torq Absorb Lim [%],D Torq Motor Lim [%],D Torq Absorb Lim [%],P Torq Motor Lim [%],P Torq Absorb Lim [%],A_Corr Force [kN],B_Corr Force [kN],C_Corr Force [kN],D_Corr Force [kN],A_Acceleration [m/s2],B_Acceleration [m/s2],C_Acceleration [m/s2],D_Acceleration [m/s2],Acceleration Avg [m/s2],FilterAvgAccel [m/s2],Total Vehicle Load [kN],Driver Commanded S [kph],Driver Command Lev [],Driver Next Level [],Roller_Sync_Engage [],Road_Load_Engaged [],Slope_Load_Engaged [],Draft_Load_Engaged [],VehicleInertia_Loa [],RollerInertia_Load [],ISU_CONTROL_Active [],ForceRampTime [s],DisplayTime [],DraftForce [kN],GradientDegree [deg],BallastEngaged [],ISUTotalDemandA [kN],ISUTotalDemandB [kN],ISUTotalDemandC [kN],ISUTotalDemandD [kN],VehicleBallast [kg],RampSafety [],CalculatedRampTime [secs],EngSpeed [RPM],EngDemandPercentTo [%],HydTemp [degC],EngFuelRate [L/h],MtrSpdFL_rpm [RPM],MtrSpdFR_rpm [RPM],MtrSpdRL_rpm [RPM],MtrSpdRR_rpm [RPM],PressA_bar10 [10Bar],PressB_bar10 [10Bar],vBatt_mV [mV],vSens_mV [mV],HMIDrv_pct2 [%],ASC_FL_SlipTqRed [%],ASC_FR_SlipTqRed [%],ASC_RL_SlipTqRed [%],ASC_RR_SlipTqRed [%],FLMtrFdbkCrnt_mA [mA],FRMtrFdbkCrnt_mA [mA],RLMtrFdbkCrnt_mA [mA],RRMtrFdbkCrnt_mA [mA],VehSpd_mmSec [mm/s],OpSpdRqst_mmSec [mm/s],PmpDisp_ccm [ccm],FLMtrDisp_ccm [ccm],FRMtrDisp_ccm [ccm],RLMtrDisp_ccm [ccm],RRMtrDisp_ccm [ccm],FwdPvFdbkCrnt_mA [mA],RvsPvFdbkCrnt_mA [mA],EngRequestedSpeed_ [],TotalCorrForce [kN],HBM A TCState [],HBM B TCState [],HBM C TCState [],HBM D TCState [],HBM P TCState [],COCA TCState [],VCU TCState [],Box A TCState [],Box B TCState [],Box C TCState [],Box D TCState [],Box P TCState [],Drv A TCState [],Drv B TCState [],Drv C TCState [],Drv D TCState [],Drv P TCState [],TC Comms Err [],A_PIDCONTROL_OUTPU [%],B_PIDCONTROL_OUTPU [%],C_PIDCONTROL_OUTPU [%],D_PIDCONTROL_OUTPU [%]
0.9,0.2,0.1,0.1,0,0,0.02,0.01,0.01,0,0,0.01,0,0,0.048,0.026,-0.141,-0.028,1,0,0,0,0,0,0,0,0,0,-0.01,-0.09,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133,0,0.0033,-0.0014,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1008,0,-40,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,110,110,110,110,30,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
1.9,0.1,0.1,0.5,0.2,0,0,0.01,0.01,0,0,0.01,0,0,0.044,0.027,-0.179,-0.029,1,0,0,0,0,0,0,0,0,0,0,-0.14,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1008.5,0,-40,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,110,110,110,110,29,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
2.9,0.2,0.1,0.5,0.1,0,0,0,0.01,0,0,0.01,0,0,0.03,-0.01,-0.155,-0.063,1,0,0,0,0,0,0,0,0,0,0,-0.2,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1007.5,0,-40,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,110,110,110,110,29,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
3.9,0.1,0.2,0.3,0.5,0,0,0.01,0.02,0,0.01,0,0,0,0.048,0.011,-0.161,-0.046,1,0,0,0,0,0,0,0,0,0,0,-0.15,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1008,0,-40,4.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,110,110,110,110,29,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
4.9,0.1,0,0.2,0.2,0,0,0.01,0.02,0,0.02,0,0,0,0.025,0.015,-0.165,-0.045,1,0,0,0,0,0,0,0,0,0,0,-0.17,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0456,-0.0114,0.0011,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1007,0,-40,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,110,110,110,110,30,30,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
5.9,0.2,0.1,2.1,0.4,0,0.03,0,0.03,0,0,0,0,0,0.039,0.009,-0.176,-0.048,1,0,0,0,0,0,0,0,0,0,-0.01,-0.18,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1056.5,0,-40,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,110,110,110,110,28,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
6.9,0,0.2,1.8,0.1,0,0.01,0.01,0.01,0,0.02,0,0,0,0.05,-0.005,-0.191,-0.066,1,0,0,0,0,0,0,0,0,0,0,-0.21,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0248,0,0.0062,-0.0005,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1428,0,-40,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,110,110,110,110,29,30,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
7.9,0.1,0.2,0.1,0.1,0,0,0.01,0.01,0,0,0,0.01,0,0.029,-0.009,-0.196,-0.062,1,0,0,0,0,0,0,0,0,0,0,-0.24,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1687,0,-40,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,110,110,110,110,30,30,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
8.9,0.1,0.2,0.4,0.1,0,0,0.01,0,0,0,0,0,0,0.048,-0.003,-0.181,-0.029,1,0,0,0,0,0,0,0,0,0,0,-0.16,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.005,0.0032,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1734.5,0,-40,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,110,110,110,110,29,30,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
9.9,0.3,0,0.2,0.1,0,0.02,0.01,0,0,0,0,0.01,0,0.047,-0.026,-0.194,-0.028,1,0,0,0,0,0,0,0,0,0,0,-0.2,1,1,1,1,0,1,0,0,0,0,0,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.0075,-0.0017,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,0,0,0,0,1746.5,0,-40,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,0,0,0,110,110,110,110,30,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
