Time,(A) Motor Speed [RPM],(B) Motor Speed [RPM],(C) Motor Speed [RPM],(D) Motor Speed [RPM],(A) Roller Speed [kph],(B) Roller Speed [kph],(C) Roller Speed [kph],(D) Roller Speed [kph],(A) Ext Roller Spd [kph],(B) Ext Roller Spd [kph],(C) Ext Roller Spd [kph],(D) Ext Roller Spd [kph],PTO Motor Speed [RPM],(A) Force [kN],(B) Force [kN],(C) Force [kN],(D) Force [kN],PTO Torque [Nm],Gradient [%],(A) Brake ON [],(B) Brake ON [],(C) Brake ON [],(D) Brake ON [],Clamp Applied A [],Clamp Applied B [],Clamp Applied C [],Clamp Applied D [],AverageSpeed [kph],ForceTotal [kN],Dyno Enabled A [],Dyno Enabled B [],Dyno Enabled C [],Dyno Enabled D [],PTO Enabled [],AuxEnable [],Distance A [km],Distance B [km],Distance C [km],Distance D [km],Distance Avg [km],A_Drive_SW [],B_Drive_SW [],C_Drive_SW [],D_Drive_SW [],PTO_Drive_SW [],A Speed Demand [kph],B Speed Demand [kph],C Speed Demand [kph],D Speed Demand [kph],(A) Drive Demand [%],(B) Drive Demand [%],(C) Drive Demand [%],(D) Drive Demand [%],PTO Drive Demand [Nm],A Torq Motor Lim [%],A Torq Absorb Lim [%],B Torq Motor Lim [%],B Torq Absorb Lim [%],C Torq Motor Lim [%],C Torq Absorb Lim [%],D Torq Motor Lim [%],D Torq Absorb Lim [%],P Torq Motor Lim [%],P Torq Absorb Lim [%],A_Corr Force [kN],B_Corr Force [kN],C_Corr Force [kN],D_Corr Force [kN],A_Acceleration [m/s2],B_Acceleration [m/s2],C_Acceleration [m/s2],D_Acceleration [m/s2],Acceleration Avg [m/s2],FilterAvgAccel [m/s2],Total Vehicle Load [kN],Driver Commanded S [kph],Driver Command Lev [],Driver Next Level [],Roller_Sync_Engage [],Road_Load_Engaged [],Slope_Load_Engaged [],Draft_Load_Engaged [],VehicleInertia_Loa [],RollerInertia_Load [],ISU_CONTROL_Active [],ForceRampTime [s],DisplayTime [],DraftForce [kN],GradientDegree [deg],BallastEngaged [],ISUTotalDemandA [kN],ISUTotalDemandB [kN],ISUTotalDemandC [kN],ISUTotalDemandD [kN],VehicleBallast [kg],RampSafety [],CalculatedRampTime [secs],EngSpeed [RPM],EngDemandPercentTo [%],HydTemp [degC],EngFuelRate [L/h],MtrSpdFL_rpm [RPM],MtrSpdFR_rpm [RPM],MtrSpdRL_rpm [RPM],MtrSpdRR_rpm [RPM],PressA_bar10 [10Bar],PressB_bar10 [10Bar],vBatt_mV [mV],vSens_mV [mV],HMIDrv_pct2 [%],ASC_FL_SlipTqRed [%],ASC_FR_SlipTqRed [%],ASC_RL_SlipTqRed [%],ASC_RR_SlipTqRed [%],FLMtrFdbkCrnt_mA [mA],FRMtrFdbkCrnt_mA [mA],RLMtrFdbkCrnt_mA [mA],RRMtrFdbkCrnt_mA [mA],VehSpd_mmSec [mm/s],OpSpdRqst_mmSec [mm/s],PmpDisp_ccm [ccm],FLMtrDisp_ccm [ccm],FRMtrDisp_ccm [ccm],RLMtrDisp_ccm [ccm],RRMtrDisp_ccm [ccm],FwdPvFdbkCrnt_mA [mA],RvsPvFdbkCrnt_mA [mA],EngRequestedSpeed_ [],TotalCorrForce [kN],HBM A TCState [],HBM B TCState [],HBM C TCState [],HBM D TCState [],HBM P TCState [],COCA TCState [],VCU TCState [],Box A TCState [],Box B TCState [],Box C TCState [],Box D TCState [],Box P TCState [],Drv A TCState [],Drv B TCState [],Drv C TCState [],Drv D TCState [],Drv P TCState [],TC Comms Err [],A_PIDCONTROL_OUTPU [%],B_PIDCONTROL_OUTPU [%],C_PIDCONTROL_OUTPU [%],D_PIDCONTROL_OUTPU [%],
       0.1,       0.2,       0.2,       0.2,       0.2,      0.00,      0.01,      0.00,      0.00,      0.00,      0.00,      0.00,      0.02,       0.0,    -0.051,     0.129,    -0.242,    -0.064,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,     -0.23,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -0.0019,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1744.5,      0.00,     -40.0,      8.95,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    339.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     29.00,     30.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       0.2,       0.0,       4.2,       0.2,       0.0,      0.00,      0.01,      0.00,      0.00,      0.00,      0.00,      0.00,      0.02,       0.0,    -0.059,     0.143,    -0.245,    -0.076,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,     -0.24,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,   -0.0013,   -0.0003,   -0.0019,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1749.5,      0.00,     -40.0,      9.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    339.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     29.00,     30.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       0.3,       0.1,       0.8,       0.2,       0.1,      0.00,      0.01,      0.00,      0.00,      0.00,      0.00,      0.00,      0.01,       0.0,    -0.055,     0.145,    -0.247,    -0.073,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,     -0.23,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0003,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1748.0,      0.00,     -40.0,      9.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    339.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     29.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       0.4,       0.1,       0.2,       0.2,       0.0,      0.00,      0.01,      0.00,      0.00,      0.00,      0.00,      0.00,      0.01,       0.0,    -0.063,     0.140,    -0.247,    -0.069,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,     -0.23,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0003,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1749.5,      0.00,     -40.0,      8.95,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    340.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     30.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       0.5,       0.1,       0.1,       0.2,       0.2,      0.00,      0.03,      0.00,      0.00,      0.00,      0.00,      0.00,      0.01,       0.0,    -0.064,     0.139,    -0.247,    -0.061,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,     -0.24,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -0.0001,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1746.0,      0.00,     -40.0,      8.85,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    339.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     30.00,     30.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       0.6,       0.1,       1.8,       0.2,       0.0,      0.00,      0.03,      0.00,      0.00,      0.00,      0.00,      0.00,      0.01,       0.0,    -0.068,     0.138,    -0.249,    -0.045,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,     -0.01,     -0.23,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,   -0.0343,    0.0000,    0.0000,   -0.0086,   -0.0018,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1744.0,      0.00,     -40.0,      8.85,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    339.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     29.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       0.7,       0.2,       0.9,       0.2,       0.1,      0.00,      0.03,      0.00,      0.00,      0.00,      0.00,      0.01,      0.02,       0.0,    -0.066,     0.138,    -0.257,    -0.041,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,     -0.01,     -0.22,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -0.0018,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1743.0,      0.00,     -40.0,      8.85,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    340.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     29.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       0.8,       0.0,       0.0,       0.2,       0.0,      0.00,      0.03,      0.00,      0.01,      0.00,      0.00,      0.01,      0.02,       0.0,    -0.068,     0.126,    -0.257,    -0.050,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,     -0.01,     -0.23,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0008,    0.0002,   -0.0017,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1743.0,      0.00,     -40.0,      8.90,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    338.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     30.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       0.9,       0.0,       0.0,       0.1,       0.1,      0.00,      0.03,      0.00,      0.00,      0.00,      0.00,      0.01,      0.02,       0.0,    -0.063,     0.124,    -0.253,    -0.044,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,     -0.01,     -0.25,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,   -0.0209,   -0.0052,   -0.0027,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1743.0,      0.00,     -40.0,      8.90,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    340.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     30.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       1.0,       0.0,       0.2,       2.7,       0.1,      0.00,      0.03,      0.00,      0.00,      0.00,      0.00,      0.01,      0.02,       0.0,    -0.069,     0.128,    -0.251,    -0.040,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,     -0.01,     -0.23,         1,         1,         1,         1,         0,         1,    2.4216,    2.4205,    2.4149,    2.4164,    2.4184,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -0.0002,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,    -0.500,     0.000,    -0.133,    -0.013,    -0.036,     0.107,     0.000,         0,     0.000,    1743.0,      0.00,     -40.0,      8.95,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    339.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     29.00,     30.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
