Time (s),(A) Motor Speed [RPM],(B) Motor Speed [RPM],(C) Motor Speed [RPM],(D) Motor Speed [RPM],(A) Roller Speed [kph],(B) Roller Speed [kph],(C) Roller Speed [kph],(D) Roller Speed [kph],(A) Ext Roller Spd [kph],(B) Ext Roller Spd [kph],(C) Ext Roller Spd [kph],(D) Ext Roller Spd [kph],PTO Motor Speed [RPM],(A) Force [kN],(B) Force [kN],(C) Force [kN],(D) Force [kN],PTO Torque [Nm],Gradient [%],(A) Brake ON [],(B) Brake ON [],(C) Brake ON [],(D) Brake ON [],Clamp Applied A [],Clamp Applied B [],Clamp Applied C [],Clamp Applied D [],AverageSpeed [kph],ForceTotal [kN],Dyno Enabled A [],Dyno Enabled B [],Dyno Enabled C [],Dyno Enabled D [],PTO Enabled [],AuxEnable [],Distance A [km],Distance B [km],Distance C [km],Distance D [km],Distance Avg [km],A_Drive_SW [],B_Drive_SW [],C_Drive_SW [],D_Drive_SW [],PTO_Drive_SW [],A Speed Demand [kph],B Speed Demand [kph],C Speed Demand [kph],D Speed Demand [kph],(A) Drive Demand [%],(B) Drive Demand [%],(C) Drive Demand [%],(D) Drive Demand [%],PTO Drive Demand [Nm],A Torq Motor Lim [%],A Torq Absorb Lim [%],B Torq Motor Lim [%],B Torq Absorb Lim [%],C Torq Motor Lim [%],C Torq Absorb Lim [%],D Torq Motor Lim [%],D Torq Absorb Lim [%],P Torq Motor Lim [%],P Torq Absorb Lim [%],A_Corr Force [kN],B_Corr Force [kN],C_Corr Force [kN],D_Corr Force [kN],A_Acceleration [m/s2],B_Acceleration [m/s2],C_Acceleration [m/s2],D_Acceleration [m/s2],Acceleration Avg [m/s2],FilterAvgAccel [m/s2],Total Vehicle Load [kN],Driver Commanded S [kph],Driver Command Lev [],Driver Next Level [],Roller_Sync_Engage [],Road_Load_Engaged [],Slope_Load_Engaged [],Draft_Load_Engaged [],VehicleInertia_Loa [],RollerInertia_Load [],ISU_CONTROL_Active [],ForceRampTime [s],DisplayTime [],DraftForce [kN],GradientDegree [deg],BallastEngaged [],ISUTotalDemandA [kN],ISUTotalDemandB [kN],ISUTotalDemandC [kN],ISUTotalDemandD [kN],VehicleBallast [kg],RampSafety [],CalculatedRampTime [secs],EngSpeed [RPM],EngDemandPercentTo [%],HydTemp [degC],EngFuelRate [L/h],MtrSpdFL_rpm [RPM],MtrSpdFR_rpm [RPM],MtrSpdRL_rpm [RPM],MtrSpdRR_rpm [RPM],PressA_bar10 [10Bar],PressB_bar10 [10Bar],vBatt_mV [mV],vSens_mV [mV],HMIDrv_pct2 [%],ASC_FL_SlipTqRed [%],ASC_FR_SlipTqRed [%],ASC_RL_SlipTqRed [%],ASC_RR_SlipTqRed [%],FLMtrFdbkCrnt_mA [mA],FRMtrFdbkCrnt_mA [mA],RLMtrFdbkCrnt_mA [mA],RRMtrFdbkCrnt_mA [mA],VehSpd_mmSec [mm/s],OpSpdRqst_mmSec [mm/s],PmpDisp_ccm [ccm],FLMtrDisp_ccm [ccm],FRMtrDisp_ccm [ccm],RLMtrDisp_ccm [ccm],RRMtrDisp_ccm [ccm],FwdPvFdbkCrnt_mA [mA],RvsPvFdbkCrnt_mA [mA],EngRequestedSpeed_ [],TotalCorrForce [kN],HBM A TCState [],HBM B TCState [],HBM C TCState [],HBM D TCState [],HBM P TCState [],COCA TCState [],VCU TCState [],Box A TCState [],Box B TCState [],Box C TCState [],Box D TCState [],Box P TCState [],Drv A TCState [],Drv B TCState [],Drv C TCState [],Drv D TCState [],Drv P TCState [],TC Comms Err [],A_PIDCONTROL_OUTPU [%],B_PIDCONTROL_OUTPU [%],C_PIDCONTROL_OUTPU [%],D_PIDCONTROL_OUTPU [%]
1,0,0,2.1,0,0.01,0,0,0,0,0,0,0,0,-0.047,-0.046,-0.07,0,1,0,0,0,0,0,0,0,0,0,0,-0.16,1,1,1,1,0,1,0.9559,0.9544,0.9482,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0008,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1748.5,0,-40,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,110,110,110,110,29,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
2,0.1,0.1,0.6,0.1,0,0,0.02,0,0,0,0.01,0,0,-0.069,-0.031,-0.074,-0.008,1,0,0,0,0,0,0,0,0,0,0,-0.18,1,1,1,1,0,1,0.9559,0.9544,0.9483,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012,0,-0.003,-0.0023,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1744.5,0,-40,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,110,110,110,110,29,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
3,0,0.2,0.1,0,0,0,0.01,0,0,0,0.01,0.02,0,-0.074,-0.036,-0.056,-0.012,1,0,0,0,0,0,0,0,0,0,0,-0.18,1,1,1,1,0,1,0.9559,0.9544,0.9483,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0003,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1745.5,0,-40,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,110,110,110,110,29,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
4,0,0.1,0.1,0.1,0,0,0.01,0.02,0,0,0,0.01,0,-0.065,-0.069,-0.073,0.009,1,0,0,0,0,0,0,0,0,0,0,-0.2,1,1,1,1,0,1,0.9559,0.9544,0.9483,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0602,-0.05,-0.0275,0.0012,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1743.5,0,-40,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,110,110,110,110,30,30,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
5,0.1,0.1,0.1,0.1,0,0,0.01,0.01,0,0,0,0.01,0,-0.079,-0.046,-0.08,0,1,0,0,0,0,0,0,0,0,0,0,-0.21,1,1,1,1,0,1,0.9559,0.9544,0.9483,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1744,0,-40,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,110,110,110,110,29,30,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
6,0.3,0,0.2,0.1,0,0,0,0.01,0,0.02,0,0.01,0,-0.054,-0.044,-0.092,0.031,1,0,0,0,0,0,0,0,0,0,0,-0.16,1,1,1,1,0,1,0.9559,0.9544,0.9483,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0169,0.0001,-0.0042,-0.0012,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1742.5,0,-40,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,110,110,110,110,30,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
7,0.2,0.1,0.1,0.1,0,0,0,0,0,0.02,0,0,0,-0.067,-0.061,-0.06,0.04,1,0,0,0,0,0,0,0,0,0,0,-0.15,1,1,1,1,0,1,0.9559,0.9544,0.9483,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016,0,-0.0004,0.0012,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1746,0,-40,8.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,110,110,110,110,29,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
8,0,0.2,0.2,0.2,0,0,0,0.03,0,0.01,0,0.01,0,-0.056,-0.061,-0.097,0.045,1,0,0,0,0,0,0,0,0,0,-0.01,-0.17,1,1,1,1,0,1,0.9559,0.9544,0.9483,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0151,-0.0614,-0.0191,-0.0014,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1741,0,-40,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,110,110,110,110,30,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
9,0.1,0.1,0.1,0.1,0,0,0.02,0.01,0,0.01,0,0.02,0,-0.059,-0.025,-0.086,0.033,1,0,0,0,0,0,0,0,0,0,0,-0.14,1,1,1,1,0,1,0.9559,0.9544,0.9483,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352,0,0.0088,0.0014,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1747.5,0,-40,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,110,110,110,110,29,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
10,0.4,0.4,0.1,0.2,0,0,0,0,0,0.01,0,0.02,0,-0.053,-0.05,-0.082,-0.021,1,0,0,0,0,0,0,0,0,0,0,-0.21,1,1,1,1,0,1,0.9559,0.9544,0.9483,0.9499,0.9521,17975,17975,17975,17975,17008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0614,0.0151,-0.0116,-0.0014,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0.5,0,-0.461,-0.376,-0.37,-0.196,0,0,0,1746.5,0,-40,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,110,110,110,110,29,29,0,0,8,8,8,8,8,8,8,8,8,8,8,8,5128,8,8,8,8,0,0,0,0,0
