Time,(A) Motor Speed [RPM],(B) Motor Speed [RPM],(C) Motor Speed [RPM],(D) Motor Speed [RPM],(A) Roller Speed [kph],(B) Roller Speed [kph],(C) Roller Speed [kph],(D) Roller Speed [kph],(A) Ext Roller Spd [kph],(B) Ext Roller Spd [kph],(C) Ext Roller Spd [kph],(D) Ext Roller Spd [kph],PTO Motor Speed [RPM],(A) Force [kN],(B) Force [kN],(C) Force [kN],(D) Force [kN],PTO Torque [Nm],Gradient [%],(A) Brake ON [],(B) Brake ON [],(C) Brake ON [],(D) Brake ON [],Clamp Applied A [],Clamp Applied B [],Clamp Applied C [],Clamp Applied D [],AverageSpeed [kph],ForceTotal [kN],Dyno Enabled A [],Dyno Enabled B [],Dyno Enabled C [],Dyno Enabled D [],PTO Enabled [],AuxEnable [],Distance A [km],Distance B [km],Distance C [km],Distance D [km],Distance Avg [km],A_Drive_SW [],B_Drive_SW [],C_Drive_SW [],D_Drive_SW [],PTO_Drive_SW [],A Speed Demand [kph],B Speed Demand [kph],C Speed Demand [kph],D Speed Demand [kph],(A) Drive Demand [%],(B) Drive Demand [%],(C) Drive Demand [%],(D) Drive Demand [%],PTO Drive Demand [Nm],A Torq Motor Lim [%],A Torq Absorb Lim [%],B Torq Motor Lim [%],B Torq Absorb Lim [%],C Torq Motor Lim [%],C Torq Absorb Lim [%],D Torq Motor Lim [%],D Torq Absorb Lim [%],P Torq Motor Lim [%],P Torq Absorb Lim [%],A_Corr Force [kN],B_Corr Force [kN],C_Corr Force [kN],D_Corr Force [kN],A_Acceleration [m/s2],B_Acceleration [m/s2],C_Acceleration [m/s2],D_Acceleration [m/s2],Acceleration Avg [m/s2],FilterAvgAccel [m/s2],Total Vehicle Load [kN],Driver Commanded S [kph],Driver Command Lev [],Driver Next Level [],Roller_Sync_Engage [],Road_Load_Engaged [],Slope_Load_Engaged [],Draft_Load_Engaged [],VehicleInertia_Loa [],RollerInertia_Load [],ISU_CONTROL_Active [],ForceRampTime [s],DisplayTime [],DraftForce [kN],GradientDegree [deg],BallastEngaged [],ISUTotalDemandA [kN],ISUTotalDemandB [kN],ISUTotalDemandC [kN],ISUTotalDemandD [kN],VehicleBallast [kg],RampSafety [],CalculatedRampTime [secs],EngSpeed [RPM],EngDemandPercentTo [%],HydTemp [degC],EngFuelRate [L/h],MtrSpdFL_rpm [RPM],MtrSpdFR_rpm [RPM],MtrSpdRL_rpm [RPM],MtrSpdRR_rpm [RPM],PressA_bar10 [10Bar],PressB_bar10 [10Bar],vBatt_mV [mV],vSens_mV [mV],HMIDrv_pct2 [%],ASC_FL_SlipTqRed [%],ASC_FR_SlipTqRed [%],ASC_RL_SlipTqRed [%],ASC_RR_SlipTqRed [%],FLMtrFdbkCrnt_mA [mA],FRMtrFdbkCrnt_mA [mA],RLMtrFdbkCrnt_mA [mA],RRMtrFdbkCrnt_mA [mA],VehSpd_mmSec [mm/s],OpSpdRqst_mmSec [mm/s],PmpDisp_ccm [ccm],FLMtrDisp_ccm [ccm],FRMtrDisp_ccm [ccm],RLMtrDisp_ccm [ccm],RRMtrDisp_ccm [ccm],FwdPvFdbkCrnt_mA [mA],RvsPvFdbkCrnt_mA [mA],EngRequestedSpeed_ [],TotalCorrForce [kN],HBM A TCState [],HBM B TCState [],HBM C TCState [],HBM D TCState [],HBM P TCState [],COCA TCState [],VCU TCState [],Box A TCState [],Box B TCState [],Box C TCState [],Box D TCState [],Box P TCState [],Drv A TCState [],Drv B TCState [],Drv C TCState [],Drv D TCState [],Drv P TCState [],TC Comms Err [],A_PIDCONTROL_OUTPU [%],B_PIDCONTROL_OUTPU [%],C_PIDCONTROL_OUTPU [%],D_PIDCONTROL_OUTPU [%],
       0.8,       0.0,       0.3,       0.0,       0.3,      0.02,      0.01,      0.00,      0.00,      0.00,      0.01,      0.00,      0.00,       0.0,     0.115,     0.085,    -0.059,    -0.075,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,      0.07,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,   -0.0036,    0.0000,    0.0000,   -0.0009,    0.0006,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1746.0,      0.00,     -40.0,      9.60,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1799.00,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,      0.00,     29.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       1.8,       0.0,       0.2,       0.4,       0.1,      0.01,      0.01,      0.00,      0.00,      0.00,      0.00,      0.00,      0.03,       0.0,     0.123,     0.095,    -0.069,    -0.092,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,      0.06,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -0.0042,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1744.5,      0.00,     -40.0,      9.60,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1800.00,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,      0.00,     29.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       2.8,       0.1,       0.1,       0.1,       0.1,      0.00,      0.00,      0.01,      0.00,      0.00,      0.01,      0.00,      0.02,       0.0,     0.102,     0.106,    -0.090,    -0.089,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,      0.03,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0243,   -0.0043,    0.0000,    0.0050,   -0.0022,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1746.5,      0.00,     -40.0,      9.55,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1799.00,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,      0.00,     29.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       3.8,       0.2,       0.0,       0.1,       0.4,      0.00,      0.00,      0.01,      0.00,      0.00,      0.02,      0.02,      0.00,       0.0,     0.113,     0.083,    -0.060,    -0.079,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,      0.06,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0023,    0.0000,    0.0000,    0.0006,    0.0001,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1748.5,      0.00,     -40.0,      9.60,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1800.00,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,      0.00,     30.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       4.8,       0.0,       0.2,       0.1,       0.3,      0.00,      0.00,      0.02,      0.00,      0.00,      0.01,      0.00,      0.01,       0.0,     0.095,     0.102,    -0.075,    -0.068,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.05,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -0.0006,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1746.5,      0.00,     -40.0,      9.55,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1797.00,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,      0.00,     28.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       5.8,       0.1,       0.3,       0.1,       0.2,      0.02,      0.00,      0.01,      0.00,      0.00,      0.01,      0.00,      0.01,       0.0,     0.090,     0.101,    -0.047,    -0.106,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.01,      0.04,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0026,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1745.5,      0.00,     -40.0,      9.60,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1802.00,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,      0.00,     30.00,     30.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       6.8,       0.0,       0.1,       0.3,       0.2,      0.00,      0.00,      0.00,      0.00,      0.00,      0.01,      0.00,      0.01,       0.0,     0.105,     0.085,    -0.026,    -0.063,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,      0.10,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0011,    0.0000,    0.0003,    0.0014,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1744.0,      0.00,     -40.0,      9.55,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1797.00,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,      0.00,     30.00,     30.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       7.8,       0.0,       0.1,       0.2,       0.0,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,     0.092,     0.103,    -0.059,    -0.063,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,      0.07,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   -0.0012,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1746.0,      0.00,     -40.0,      9.45,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,   1800.00,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,      0.00,     29.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       8.8,       0.5,       0.1,       0.2,       0.2,      0.00,      0.01,      0.02,      0.00,      0.00,      0.01,      0.00,      0.00,       0.0,     0.108,     0.108,    -0.097,    -0.050,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,      0.07,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0009,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1747.0,      0.00,     -40.0,      9.35,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    382.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     27.00,     27.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
       9.8,       0.1,       0.0,       0.3,       0.1,      0.00,      0.00,      0.02,      0.00,      0.00,      0.01,      0.00,      0.00,       0.0,     0.103,     0.122,    -0.045,    -0.059,         1,       0.0,         0,         0,         0,         0,         0,         0,         0,         0,      0.00,      0.12,         1,         1,         1,         1,         0,         1,    1.7946,    1.7927,    1.7869,    1.7885,    1.7907,     17975,     17975,     17975,     17975,     17008,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,       0.0,      0.00,      0.00,      0.00,      0.00,    0.0000,    0.0000,    0.0190,    0.0000,    0.0048,    0.0005,     0.000,      0.00,         0,         0,         1,         0,         0,         0,      0.00,      0.00,         0,      0.10,     0.000,     0.000,     0.500,     0.000,    -0.491,    -0.406,    -0.410,    -0.251,     0.000,         0,     0.000,    1748.0,      0.00,     -40.0,      9.30,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,      0.00,    340.00,       0.0,       0.0,      0.00,    110.00,    110.00,    110.00,    110.00,     30.00,     29.00,         0,     0.000,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,         8,      5128,         8,         8,         8,         8,         0,     0.000,     0.000,     0.000,     0.000,
